contestant_id,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,elimination_week,J_pct,week,industry_std,is_US,age_bin,rank_judge,rank_final
Tatum O'Neal_S2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2,76.66666666666667,1,Actor,1,36-45,2.0,9
Tia Carrere_S2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,66.66666666666666,1,Actor,1,36-45,6.0,6
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,90.0,2,Musician,1,26-35,2.0,1
George Hamilton_S2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,73.33333333333333,2,Actor,1,55+,5.0,5
Giselle Fernandez_S2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,3,80.0,2,TV_Personality,0,36-45,3.0,8
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,76.66666666666667,2,Athlete,1,36-45,4.0,2
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,66.66666666666666,2,Actor,1,36-45,7.0,4
Master P_S2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,53.333333333333336,2,Musician,1,26-35,9.0,7
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,96.66666666666669,2,Athlete,1,26-35,1.0,3
Tatum O'Neal_S2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2,56.66666666666666,2,Actor,1,36-45,8.0,9
Tia Carrere_S2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,73.33333333333333,2,Actor,1,36-45,5.0,6
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,90.0,3,Musician,1,26-35,1.0,1
George Hamilton_S2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,73.33333333333333,3,Actor,1,55+,5.0,5
Giselle Fernandez_S2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,3,73.33333333333333,3,TV_Personality,0,36-45,5.0,8
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,63.33333333333333,3,Athlete,1,36-45,7.0,2
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,83.33333333333334,3,Actor,1,36-45,4.0,4
Master P_S2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,46.66666666666666,3,Musician,1,26-35,8.0,7
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,90.0,3,Athlete,1,26-35,1.0,3
Tia Carrere_S2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,86.66666666666667,3,Actor,1,36-45,3.0,6
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,93.33333333333331,4,Musician,1,26-35,1.0,1
George Hamilton_S2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,70.0,4,Actor,1,55+,6.0,5
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,80.0,4,Athlete,1,36-45,5.0,2
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,86.66666666666667,4,Actor,1,36-45,2.0,4
Master P_S2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,26.666666666666668,4,Musician,1,26-35,7.0,7
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,86.66666666666667,4,Athlete,1,26-35,2.0,3
Tia Carrere_S2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,83.33333333333334,4,Actor,1,36-45,4.0,6
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,90.0,5,Musician,1,26-35,2.0,1
George Hamilton_S2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,80.0,5,Actor,1,55+,4.0,5
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,76.66666666666667,5,Athlete,1,36-45,5.0,2
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,83.33333333333334,5,Actor,1,36-45,3.0,4
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,100.0,5,Athlete,1,26-35,1.0,3
Tia Carrere_S2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,73.33333333333333,5,Actor,1,36-45,6.0,6
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,100.0,6,Musician,1,26-35,1.0,1
George Hamilton_S2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,76.66666666666667,6,Actor,1,55+,4.0,5
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,76.66666666666667,6,Athlete,1,36-45,4.0,2
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,90.0,6,Actor,1,36-45,3.0,4
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,100.0,6,Athlete,1,26-35,1.0,3
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,91.66666666666666,7,Musician,1,26-35,1.0,1
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,68.33333333333333,7,Athlete,1,36-45,4.0,2
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,88.33333333333333,7,Actor,1,36-45,3.0,4
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,91.66666666666666,7,Athlete,1,26-35,1.0,3
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,96.666,8,Musician,1,26-35,1.0,1
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,88.88866666666667,8,Athlete,1,36-45,3.0,2
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,95.555,8,Athlete,1,26-35,2.0,3
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,80.0,1,Athlete,1,36-45,2.0,1
Harry Hamlin_S3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3,56.66666666666666,1,Actor,1,46-55,8.0,9
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,53.333333333333336,1,TV_Personality,0,55+,9.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,70.0,1,Actor,1,26-35,5.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,86.66666666666667,1,Actor,1,26-35,1.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,63.33333333333333,1,Actor,1,18-25,6.0,4
Sara Evans_S3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,withdrew,50.0,1,Musician,1,26-35,10.0,6
Shanna Moakler_S3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,2,60.0,1,Model,1,26-35,7.0,10
Tucker Carlson_S3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,1,40.0,1,TV_Personality,1,36-45,11.0,11
Vivica A. Fox_S3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4,73.33333333333333,1,Actor,1,36-45,3.0,8
Willa Ford_S3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,73.33333333333333,1,Musician,1,18-25,3.0,7
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,80.0,2,Athlete,1,36-45,3.0,1
Harry Hamlin_S3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3,70.0,2,Actor,1,46-55,7.0,9
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,63.33333333333333,2,TV_Personality,0,55+,10.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,96.66666666666669,2,Actor,1,26-35,1.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,70.0,2,Actor,1,26-35,7.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,86.66666666666667,2,Actor,1,18-25,2.0,4
Sara Evans_S3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,withdrew,70.0,2,Musician,1,26-35,7.0,6
Shanna Moakler_S3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,2,73.33333333333333,2,Model,1,26-35,6.0,10
Vivica A. Fox_S3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4,80.0,2,Actor,1,36-45,3.0,8
Willa Ford_S3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,76.66666666666667,2,Musician,1,18-25,5.0,7
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,63.33333333333333,3,Athlete,1,36-45,9.0,1
Harry Hamlin_S3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3,73.33333333333333,3,Actor,1,46-55,4.0,9
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,70.0,3,TV_Personality,0,55+,8.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,73.33333333333333,3,Actor,1,26-35,4.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,73.33333333333333,3,Actor,1,26-35,4.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,90.0,3,Actor,1,18-25,1.0,4
Sara Evans_S3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,withdrew,83.33333333333334,3,Musician,1,26-35,3.0,6
Vivica A. Fox_S3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4,90.0,3,Actor,1,36-45,1.0,8
Willa Ford_S3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,73.33333333333333,3,Musician,1,18-25,4.0,7
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,80.0,4,Athlete,1,36-45,4.0,1
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,73.33333333333333,4,TV_Personality,0,55+,7.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,90.0,4,Actor,1,26-35,3.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,96.66666666666669,4,Actor,1,26-35,1.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,80.0,4,Actor,1,18-25,4.0,4
Sara Evans_S3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,withdrew,66.66666666666666,4,Musician,1,26-35,8.0,6
Vivica A. Fox_S3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4,80.0,4,Actor,1,36-45,4.0,8
Willa Ford_S3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,93.33333333333331,4,Musician,1,18-25,2.0,7
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,90.0,5,Athlete,1,36-45,1.0,1
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,80.0,5,TV_Personality,0,55+,6.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,83.33333333333334,5,Actor,1,26-35,5.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,90.0,5,Actor,1,26-35,1.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,90.0,5,Actor,1,18-25,1.0,4
Sara Evans_S3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,withdrew,80.0,5,Musician,1,26-35,6.0,6
Willa Ford_S3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,90.0,5,Musician,1,18-25,1.0,7
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,83.33333333333334,6,Athlete,1,36-45,2.0,1
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,60.0,6,TV_Personality,0,55+,5.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,80.0,6,Actor,1,26-35,3.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,93.33333333333331,6,Actor,1,26-35,1.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,76.66666666666667,6,Actor,1,18-25,4.0,4
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,95.0,7,Athlete,1,36-45,1.0,1
Jerry Springer_S3,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,76.66666666666667,7,TV_Personality,0,55+,5.0,5
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,95.0,7,Actor,1,26-35,1.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,93.33333333333331,7,Actor,1,26-35,3.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,90.0,7,Actor,1,18-25,4.0,4
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,90.0,8,Athlete,1,36-45,2.0,1
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,90.0,8,Actor,1,26-35,2.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,95.0,8,Actor,1,26-35,1.0,2
Monique Coleman_S3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,88.33333333333333,8,Actor,1,18-25,4.0,4
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,98.33333333333331,9,Athlete,1,36-45,1.0,1
Joey Lawrence_S3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,finalist,98.33333333333331,9,Actor,1,26-35,1.0,3
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,98.33333333333331,9,Actor,1,26-35,1.0,2
Emmitt Smith_S3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,finalist,98.88866666666668,10,Athlete,1,36-45,1.0,1
Mario Lopez_S3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,finalist,98.88866666666668,10,Actor,1,26-35,1.0,2
Apolo Anton Ohno_S4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,finalist,70.0,1,Athlete,1,18-25,3.0,1
Billy Ray Cyrus_S4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,8,43.333333333333336,1,Musician,1,36-45,11.0,5
Clyde Drexler_S4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,5,53.333333333333336,1,Athlete,1,36-45,9.0,8
Heather Mills_S4,Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6,60.0,1,Model,0,36-45,7.0,7
Ian Ziering_S4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,9,70.0,1,Actor,1,36-45,3.0,4
Joey Fatone_S4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,finalist,80.0,1,Musician,1,26-35,1.0,2
John Ratzenberger_S4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,7,56.66666666666666,1,Actor,1,55+,8.0,6
Laila Ali_S4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,finalist,76.66666666666667,1,Athlete,1,26-35,2.0,3
Leeza Gibbons_S4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,4,50.0,1,TV_Personality,1,46-55,10.0,9
Paulina Porizkova_S4,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,2,63.33333333333333,1,Model,0,36-45,5.0,11
Shandi Finnessey_S4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,3,63.33333333333333,1,Model,1,26-35,5.0,10
Apolo Anton Ohno_S4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,finalist,86.66666666666667,2,Athlete,1,18-25,2.0,1
Billy Ray Cyrus_S4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,8,70.0,2,Musician,1,36-45,6.0,5
Clyde Drexler_S4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,5,60.0,2,Athlete,1,36-45,11.0,8
Heather Mills_S4,Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6,80.0,2,Model,0,36-45,3.0,7
Ian Ziering_S4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,9,73.33333333333333,2,Actor,1,36-45,5.0,4
Joey Fatone_S4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,finalist,80.0,2,Musician,1,26-35,3.0,2
John Ratzenberger_S4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,7,70.0,2,Actor,1,55+,6.0,6
