celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_J_pct,week2_J_pct,week3_J_pct,week4_J_pct,week5_J_pct,week6_J_pct,week7_J_pct,week8_J_pct,week9_J_pct,week10_J_pct,week11_J_pct,elimination_week,contestant_id
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,70.0,76.66666666666667,63.33333333333333,80.0,76.66666666666667,76.66666666666667,68.33333333333333,88.88866666666667,,,,finalist,Jerry Rice_S2
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,76.66666666666667,80.0,73.33333333333333,,,,,,,,,3,Giselle Fernandez_S2
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,40.0,53.333333333333336,46.666666666666664,26.666666666666668,,,,,,,,4,Master P_S2
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,80.0,90.0,90.0,93.33333333333333,90.0,100.0,91.66666666666666,96.666,,,,finalist,Drew Lachey_S2
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,43.333333333333336,,,,,,,,,,,1,Kenny Mayne_S2
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,56.666666666666664,70.0,73.33333333333333,,,,,,,,,3,Harry Hamlin_S3
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,73.33333333333333,80.0,90.0,80.0,,,,,,,,4,Vivica A. Fox_S3
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,63.33333333333333,86.66666666666667,90.0,80.0,90.0,76.66666666666667,90.0,88.33333333333333,,,,8,Monique Coleman_S3
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,70.0,96.66666666666667,73.33333333333333,90.0,83.33333333333334,80.0,95.0,90.0,98.33333333333333,,,finalist,Joey Lawrence_S3
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,86.66666666666667,70.0,73.33333333333333,96.66666666666667,90.0,93.33333333333333,93.33333333333333,95.0,98.33333333333333,98.88866666666668,,finalist,Mario Lopez_S3
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,80.0,80.0,63.33333333333333,80.0,90.0,83.33333333333334,95.0,90.0,98.33333333333333,98.88866666666668,,finalist,Emmitt Smith_S3
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,60.0,73.33333333333333,,,,,,,,,,2,Shanna Moakler_S3
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,73.33333333333333,76.66666666666667,73.33333333333333,93.33333333333333,90.0,,,,,,,5,Willa Ford_S3
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,50.0,70.0,83.33333333333334,66.66666666666666,80.0,,,,,,,withdrew,Sara Evans_S3
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,53.333333333333336,63.33333333333333,70.0,73.33333333333333,80.0,60.0,76.66666666666667,,,,,7,Jerry Springer_S3
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,40.0,,,,,,,,,,,1,Tucker Carlson_S3
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,56.666666666666664,70.0,66.66666666666666,53.333333333333336,60.0,63.33333333333333,75.0,,,,,7,John Ratzenberger_S4
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,70.0,73.33333333333333,80.0,80.0,80.0,80.0,90.0,78.33333333333333,96.66666666666667,,,9,Ian Ziering_S4
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,53.333333333333336,60.0,53.333333333333336,50.0,43.333333333333336,,,,,,,5,Clyde Drexler_S4
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,76.66666666666667,90.0,70.0,70.0,93.33333333333333,93.33333333333333,98.33333333333333,88.33333333333333,100.0,94.444,,finalist,Laila Ali_S4
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,70.0,86.66666666666667,76.66666666666667,86.66666666666667,100.0,93.33333333333333,90.0,96.66666666666667,98.33333333333333,97.77733333333333,,finalist,Apolo Anton Ohno_S4
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,63.33333333333333,66.66666666666666,70.0,,,,,,,,,3,Shandi Finnessey_S4
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,63.33333333333333,70.0,,,,,,,,,,2,Paulina Porizkova_S4
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,60.0,80.0,80.0,76.66666666666667,70.0,76.66666666666667,,,,,,6,Heather Mills_S4
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,43.333333333333336,70.0,70.0,70.0,56.666666666666664,70.0,63.33333333333333,63.33333333333333,,,,8,Billy Ray Cyrus_S4
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,80.0,80.0,80.0,93.33333333333333,83.33333333333334,90.0,98.33333333333333,91.66666666666666,100.0,95.555,,finalist,Joey Fatone_S4
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,50.0,70.0,80.0,53.333333333333336,,,,,,,,4,Leeza Gibbons_S4
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,70.0,70.0,76.66666666666667,90.0,86.66666666666667,83.33333333333334,85.0,85.0,,,,8,Cameron Mathison_S5
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,80.0,70.0,90.0,86.66666666666667,86.66666666666667,73.33333333333333,83.33333333333334,,,,,7,Jane Seymour_S5
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,86.66666666666667,86.66666666666667,90.0,100.0,93.33333333333333,83.33333333333334,,,,,,6,Sabrina Bryan_S5
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,70.0,70.0,86.66666666666667,90.0,83.33333333333334,90.0,88.33333333333333,83.33333333333334,96.66666666666667,,,9,Jennie Garth_S5
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,60.0,70.0,70.0,76.66666666666667,,,,,,,,4,Floyd Mayweather Jr. _S5
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,53.333333333333336,,,,,,,,,,,1,Josie Maran_S5
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,70.0,70.0,,,,,,,,,,2,Albert Reed_S5
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,83.33333333333334,90.0,80.0,90.0,76.66666666666667,93.33333333333333,86.66666666666667,95.0,100.0,93.333,,finalist,Helio Castroneves_S5
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,80.0,76.66666666666667,90.0,86.66666666666667,96.66666666666667,100.0,90.0,93.33333333333333,100.0,94.44399999999999,,finalist,Mel B_S5
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,63.33333333333333,50.0,60.0,,,,,,,,,3,Wayne Newton_S5
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,70.0,80.0,86.66666666666667,86.66666666666667,70.0,76.66666666666667,86.66666666666667,81.66666666666667,93.33333333333333,76.66666666666667,,finalist,Marie Osmond_S5
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,70.0,60.0,66.66666666666666,73.33333333333333,70.0,,,,,,,5,Mark Cuban_S5
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,70.0,66.66666666666666,83.33333333333334,86.66666666666667,76.66666666666667,90.0,76.66666666666667,95.0,93.33333333333333,86.66666666666667,,finalist,Cristian de la Fuente_S6
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,60.0,53.333333333333336,70.0,,,,,,,,,3,Steve Guttenberg_S6
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,80.0,70.0,86.66666666666667,73.33333333333333,70.0,,,,,,,5,Priscilla Presley_S6
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,73.33333333333333,80.0,70.0,80.0,73.33333333333333,70.0,,,,,,6,Marlee Matlin_S6
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,70.0,80.0,80.0,93.33333333333333,76.66666666666667,80.0,85.0,,,,,7,Shannon Elizabeth_S6
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,60.0,70.0,63.33333333333333,80.0,80.0,86.66666666666667,86.66666666666667,83.33333333333334,86.66666666666667,,,9,Marissa Jaret Winokur_S6
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,73.33333333333333,90.0,76.66666666666667,96.66666666666667,90.0,80.0,91.66666666666666,86.66666666666667,91.66666666666666,95.0,,finalist,Jason Taylor_S6
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,90.0,90.0,90.0,96.66666666666667,96.66666666666667,100.0,90.0,91.66666666666666,95.0,100.0,,finalist,Kristi Yamaguchi_S6
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,50.0,50.0,,,,,,,,,,2,Monica Seles_S6
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,53.333333333333336,56.666666666666664,,,,,,,,,,2,Penn Jillette_S6
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,50.0,63.33333333333333,70.0,63.33333333333333,,,,,,,,4,Adam Carolla_S6
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,80.0,86.66666666666667,70.0,80.0,90.0,93.33333333333333,85.0,88.33333333333333,,,,8,Mario_S6
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,61.66666666666667,,,,,,,,,,,1,Ted McGinley_S7
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,53.333333333333336,50.0,53.333333333333336,73.33333333333333,70.0,50.0,,,,,,6,Cloris Leachman_S7
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,61.66666666666667,70.0,70.0,80.0,73.33333333333333,76.66666666666667,80.0,,,,,7,Susan Lucci_S7
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,68.33333333333333,70.0,70.0,76.66666666666667,93.33333333333333,76.66666666666667,73.33333333333333,80.0,76.66666666666667,,,9,Cody Linley_S7
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,70.0,70.0,,,,,,,,,,withdrew,Misty May-Treanor_S7
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,65.0,63.33333333333333,80.0,66.66666666666666,90.0,70.0,83.33333333333334,80.0,,,,8,Maurice Greene_S7
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,71.66666666666667,80.0,83.33333333333334,73.33333333333333,83.33333333333334,83.33333333333334,70.0,90.0,81.66666666666667,91.66666666666666,,finalist,Warren Sapp_S7
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,40.0,,,,,,,,,,,1,Jeffrey Ross_S7
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,75.0,76.66666666666667,73.33333333333333,73.33333333333333,73.33333333333333,,,,,,,5,Toni Braxton_S7
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,71.66666666666667,66.66666666666666,73.33333333333333,86.66666666666667,70.0,90.0,83.33333333333334,83.33333333333334,95.0,91.66666666666666,,finalist,Lance Bass_S7
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,61.66666666666667,56.666666666666664,,,,,,,,,,2,Kim Kardashian_S7
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,58.333333333333336,53.333333333333336,66.66666666666666,60.0,,,,,,,,4,Rocco DiSpirito_S7
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,81.66666666666667,80.0,93.33333333333333,86.66666666666667,96.66666666666667,86.66666666666667,100.0,91.66666666666666,81.66666666666667,100.0,,finalist,Brooke Burke_S7
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,80.0,90.0,90.0,100.0,96.66666666666667,86.66666666666667,90.0,91.66666666666666,93.33333333333333,100.0,96.66666666666667,finalist,Gilles Marini_S8
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,Eliminated Week 3,12,60.0,70.0,53.333333333333336,,,,,,,,,3,Denise Richards_S8
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,Eliminated Week 5,9,63.33333333333333,56.666666666666664,80.0,73.33333333333333,73.33333333333333,,,,,,,5,David Alan Grier_S8
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,53.333333333333336,66.66666666666666,66.66666666666666,63.33333333333333,66.66666666666666,73.33333333333333,70.0,,,,,7,Lawrence Taylor_S8
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,46.666666666666664,66.66666666666666,76.66666666666667,83.33333333333334,70.0,60.0,80.0,86.66666666666667,76.66666666666667,80.0,,10,Ty Murray_S8
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,76.66666666666667,80.0,90.0,83.33333333333334,86.66666666666667,86.66666666666667,93.33333333333333,86.66666666666667,93.33333333333333,93.33333333333333,100.0,finalist,Shawn Johnson_S8
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,Eliminated Week 4,10,43.333333333333336,56.666666666666664,33.33333333333333,40.0,,,,,,,,4,Steve Wozniak_S8
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,Eliminated Week 2,13,56.666666666666664,60.0,,,,,,,,,,2,Belinda Carlisle_S8
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,66.66666666666666,66.66666666666666,76.66666666666667,73.33333333333333,76.66666666666667,76.66666666666667,90.0,85.0,,,,8,Chuck Wicks_S8
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,70.0,76.66666666666667,83.33333333333334,90.0,86.66666666666667,93.33333333333333,86.66666666666667,93.33333333333333,86.66666666666667,,,9,Lil' Kim_S8
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,56.666666666666664,46.666666666666664,50.0,50.0,60.0,53.333333333333336,,,,,,6,Steve-O_S8
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,Eliminated Week 4,11,60.0,60.0,56.666666666666664,53.333333333333336,,,,,,,,4,Holly Madison_S8
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,76.66666666666667,86.66666666666667,90.0,96.66666666666667,83.33333333333334,90.0,96.66666666666667,76.66666666666667,95.0,91.66666666666666,95.0,finalist,Melissa Rycroft_S8
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,Eliminated Week 1,16,63.333000000000006,,,,,,,,,,,1,Ashley Hamiliton_S9
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,Eliminated Week 3,12,73.33333333333333,70.0,56.666666666666664,,,,,,,,,3,Debi Mazar_S9
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,9,80.0,63.33333333333333,63.33333333333333,93.33333333333333,76.66666666666667,79.99966666666667,,,,,,6,Melissa Joan Hart_S9
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,Eliminated Week 7,6,96.666,70.0,60.0,73.33333333333333,86.66666666666667,53.333333333333336,71.66666666666667,,,,,7,Mark Dacascos_S9
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,73.33333333333333,63.33333333333333,56.666666666666664,56.666666666666664,,,,,,,,4,Chuck Liddell_S9
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,89.99933333333333,70.0,86.66666666666667,80.0,73.33333333333333,,,,,,,5,Natalie Coughlin_S9
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,89.99933333333333,63.33333333333333,66.66666666666666,53.333333333333336,73.33333333333333,80.0,,,,,,6,Louie Vito_S9
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,63.33333333333333,66.66666666666666,46.666666666666664,53.333333333333336,70.0,73.33266666666667,78.33333333333333,,,,,7,Michael Irvin_S9
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,56.6665,66.66666666666666,76.66666666666667,86.66666666666667,80.0,59.99983333333333,91.66666666666666,86.66666666666667,90.0,,,9,Joanna Krupa_S9
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,66.66633333333334,60.0,,,,,,,,,,2,Kathy Ireland_S9
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,66.66633333333334,60.0,50.0,,,,,,,,,withdrew,Tom DeLay_S9
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,63.333000000000006,,,,,,,,,,,1,Macy Gray_S9
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,53.33316666666666,90.0,70.0,60.0,80.0,54.99966666666667,88.33333333333333,83.33333333333334,,,,8,Aaron Carter_S9
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,51.66649999999999,90.0,90.0,93.33333333333333,90.0,55.00000000000001,81.66666666666667,98.33333333333333,96.66633333333333,94.44399999999999,,finalist,Mya_S9
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,49.99983333333333,83.33333333333334,70.0,80.0,96.66666666666667,51.66649999999999,86.66666666666667,83.33333333333334,82.222,96.666,,finalist,Donny Osmond_S9
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,51.666333333333334,63.33333333333333,66.66666666666666,76.66666666666667,80.0,83.33266666666667,86.66666666666667,85.0,86.666,84.074,,finalist,Kelly Osbourne_S9
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,50.0,63.33333333333333,66.66666666666666,55.00000000000001,,,,,,,,4,Aiden Turner_S10
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,60.0,66.66666666666666,,,,,,,,,,2,Shannen Doherty_S10
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,60.0,70.0,70.0,60.0,60.0,86.666,81.66666666666667,71.66666666666667,,,,8,Niecy Nash_S10
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,46.666666666666664,40.0,43.333333333333336,,,,,,,,,3,Buzz Aldrin_S10
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,60.0,53.333333333333336,66.66666666666666,73.33333333333333,60.0,51.66649999999999,86.66666666666667,75.0,86.66666666666667,,,9,Chad Ochocinco_S10
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,76.66666666666667,80.0,86.66666666666667,86.66666666666667,90.0,90.0,90.0,88.33333333333333,98.33333333333333,89.629,,finalist,Evan Lysacek_S10
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,70.0,73.33333333333333,70.0,78.33333333333333,70.0,49.99966666666667,85.0,,,,,7,Pamela Anderson_S10
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,83.33333333333334,93.33333333333333,76.66666666666667,83.33333333333334,96.66666666666667,59.99983333333333,90.0,98.33333333333333,98.33333333333333,95.92566666666667,,finalist,Nicole Scherzinger_S10
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,70.0,76.66666666666667,76.66666666666667,65.0,73.33333333333333,56.666666666666664,85.0,88.33333333333333,93.33333333333333,89.99933333333333,,finalist,Erin Andrews_S10
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,53.333333333333336,50.0,50.0,53.333333333333336,50.0,,,,,,,5,Kate Gosselin_S10
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,66.66666666666666,66.66666666666666,70.0,63.33333333333333,76.66666666666667,83.33299999999998,,,,,,6,Jake Pavelka_S10
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,50.0,,,,,,,,,,,1,David Hasselhoff_S11
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,60.0,63.33333333333333,66.66666666666666,58.333333333333336,70.0,,,,,,,5,Florence Henderson_S11
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,76.66666666666667,73.33333333333333,76.66666666666667,66.66666666666666,66.66666666666666,49.99983333333333,83.75,93.33333333333333,96.66666666666667,91.11066666666666,,finalist,Kyle Massey_S11
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,80.0,80.0,80.0,93.33333333333333,83.33333333333334,96.66666666666667,91.25,95.0,100.0,100.0,,finalist,Jennifer Grey_S11
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,73.33333333333333,70.0,80.0,65.0,80.0,100.0,86.25,,,,,7,Rick Fox_S11
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,63.33333333333333,70.0,76.66666666666667,56.666666666666664,80.0,73.333,87.5,80.0,,,,8,Kurt Warner_S11
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,50.0,60.0,60.0,,,,,,,,,3,Margaret Cho_S11
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,53.333333333333336,40.0,,,,,,,,,,2,Michael Bolton_S11
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,76.66666666666667,70.0,80.0,80.0,90.0,59.99983333333333,91.25,95.0,95.0,,,9,Brandy_S11
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,50.0,60.0,66.66666666666666,46.666666666666664,,,,,,,,4,The Situation_S11
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,63.33333333333333,76.66666666666667,86.66666666666667,76.66666666666667,76.66666666666667,53.333,,,,,,6,Audrina Patridge_S11
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,60.0,73.33333333333333,63.33333333333333,53.333333333333336,60.0,93.33266666666667,81.25,78.33333333333333,88.33333333333333,85.55533333333332,,finalist,Bristol Palin_S11
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,80.0,70.0,70.0,83.33333333333334,73.33333333333333,80.0,82.5,76.66666666666667,80.0,,,9,Ralph Macchio_S12
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,70.0,60.0,76.66666666666667,86.66666666666667,86.66666666666667,93.33333333333333,80.0,91.66666666666666,60.83333333333333,98.88866666666668,,finalist,Chelsea Kane_S12
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,76.66666666666667,66.66666666666666,70.0,73.33333333333333,76.66666666666667,86.66666666666667,75.0,88.33333333333333,90.0,93.33299999999998,,finalist,Kirstie Alley_S12
